product_id,review_text,rating
P101,This product is amazing! Totally worth the price.,5
P102,Worst product ever. Do not buy this.,1
P103,Decent quality. Works fine but packaging was poor.,3
P104,Loved it! The design is sleek and performance is top-notch.,5
P105,Completely useless. It broke after one use.,1
P106,Value for money. Will recommend to others.,4
P107,Not bad, but could be better. Battery life is short.,3
P108,Amazing camera and display. Super fast performance.,5
P109,Cheap material. I regret buying this.,2
P110,Okay product. Delivery was fast though.,3
